Cl 2 9123.60A
H  1 9228.97A
O  1 9264.00A
He 1 9463.57A
S  3 9530.62A
H  1 9545.93A
He 1 9603.44A
Blnd 9850.00A
C  2 9903.00A
H  1 1.00493m
Fe 6 1.01089m
He 2 1.01233m
S  2 1.02867m
He 1 1.03113m
S  2 1.03205m
S  2 1.03364m
S  2 1.03705m
He 1 1.06678m
Fe13 1.07462m
He 1 1.08303m
He 1 1.09130m
He 1 1.09171m
H  1 1.09380m
He 1 1.09966m
He 1 1.10131m
He 1 1.10450m
P  2 1.14682m
P  2 1.18828m
He 1 1.19692m
He 1 1.25274m
Fe 2 1.25668m
He 1 1.27849m
He 1 1.27905m
H  1 1.28180m
He 1 1.28461m
He 1 1.29684m
He 1 1.29849m
Fe 2 1.32055m
He 1 1.34117m
Fe 2 1.37182m
Si10 1.43008m
He 1 1.50837m
Fe 2 1.64355m
He 1 1.70027m
H  1 1.73620m
Fe 2 1.80939m
H  1 1.81740m
He 1 1.86854m
He 1 1.86972m
H  1 1.87510m
He 1 1.90894m
Si11 1.93446m
H  1 1.94454m
He 1 1.95430m
Si 6 1.96247m
Al 9 2.04444m
He 1 2.05813m
He 1 2.11180m
He 1 2.11303m
H  1 2.16551m
Ca 8 2.32117m
He 1 2.47274m
Si 7 2.48071m
He 1 2.61850m
He 1 2.61985m
He 1 2.62338m
H  1 2.62513m
Al 5 2.90450m
H  1 3.03835m
Ca 4 3.20610m
H  1 3.29607m
Al 6 3.65932m
He 1 3.70260m
H  1 3.73951m
Si 9 3.92820m
He 1 4.03664m
He 1 4.03983m
He 1 4.04791m
He 1 4.04793m
H  1 4.05113m
He 1 4.29459m
Mg 4 4.48712m
Ar 6 4.52800m
K  3 4.61683m
H  1 4.65247m
H  1 5.12722m
Fe 2 5.33881m
Mg 7 5.50177m
Mg 5 5.60700m
H  1 5.90655m
K  4 5.98030m
Si 7 6.51288m
Ar 2 6.98337m
Na 3 7.31706m
He 1 7.45174m
He 1 7.45411m
He 1 7.45412m
H  1 7.45777m
H  1 7.50038m
Ne 6 7.64318m
Fe 7 7.81037m
Ar 5 7.89971m
H  1 8.75760m
Ar 3 8.98898m
Mg 7 9.00655m
Na 4 9.03098m
Fe 7 9.50763m
S  4 10.5076m
H  1 11.3055m
Cl 4 11.7629m
Fe 6 12.3074m
H  1 12.3684m
Ne 2 12.8101m
Ar 5 13.0985m
Ne 5 14.3228m
Cl 2 14.3639m
Fe 6 14.7670m
Ne 3 15.5509m
H  1 16.2045m
P  3 17.8797m
Fe 2 17.9314m
S  3 18.7078m
H  1 19.0565m
Fe 6 19.5527m
Cl 4 20.3197m
Ar 3 21.8300m
Fe 3 22.9190m
Ne 5 24.2065m
Fe 2 24.5120m
O  4 25.8832m
Fe 2 25.9811m
H  1 27.7955m
P  2 32.8620m
Fe 3 33.0270m
Cl 2 33.2721m
S  3 33.4704m
Si 2 34.8046m
Fe 2 35.3394m
Ne 3 36.0036m
H  1 38.8589m
Fe 2 51.2865m
Fe 3 51.6655m
O  3 51.8004m
N  3 57.3238m
P  2 60.6263m
O  1 63.1679m
O  3 88.3323m
N  2 121.767m
O  1 145.495m
C  2 157.636m
N  2 205.244m
C  1 370.269m
C  1 609.590m
